62,www.bilibili.com/video/BV1bR4y1L7LJ,美式霸凌，但是是画师版,咪耶咪耶咪耶耶,85.5万,1372
63,www.bilibili.com/video/BV1z341177ZQ,这个up疯了，他算出了海绵宝宝有多少个洞。。。,最上川下山,325.1万,2407
64,www.bilibili.com/video/BV1oR4y1L73B,宿舍楼下有只猫卡树上了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,好几只大兔子,123.6万,2269
65,www.bilibili.com/video/BV1G5411Z7eZ,“给我家猫看了，它说不信谣不传谣”,生活充滿希望,208.9万,1559
66,www.bilibili.com/video/BV1Pb4y1t71T,UNOOOOOOO!!,高斯Goh,85万,4357
67,www.bilibili.com/video/BV1j3411L76h,这个发型够练习生吗？,山城小栗旬的理发日记,191.5万,6291
68,www.bilibili.com/video/BV1SS4y1F7ds,别人都觉得我冷冷的，只有你知道我憨憨的,河野华,113.2万,687
69,www.bilibili.com/video/BV15S4y1F7h3,买不到冰墩墩那就自己画吧,幾加乘,50.1万,1423
70,www.bilibili.com/video/BV1gb4y1t7WG,《鬼灭之刃·无限游郭篇》 飞碟社都不敢这么编！！,怪兽电台MonsterBlog,72.9万,1383
71,www.bilibili.com/video/BV1ni4y127MD,【散人】超二次元浓度坑爹i wanna 你想要的他都有。。,逍遥散人,65.6万,7428
72,www.bilibili.com/video/BV1xr4y1r7Vn,可怜的水史莱姆,刘琥动画,62.6万,233
73,www.bilibili.com/video/BV1Nb4y1t737,恐 怖 生 存 7,籽岷,42.4万,4594
74,www.bilibili.com/video/BV1w44y1n7tn,【精灵旅社】胯骨轴子扭脱臼,酸梨大王,106.4万,694
75,www.bilibili.com/video/BV14P4y1w79a,看了这个视频，我再也没有喝过奶茶,好看的蓝星人,208.8万,1532
76,www.bilibili.com/video/BV1BT4y1X7XP,【原神】三界路飨祭宝箱全收集（125宝箱）,莴苣某人,222.9万,9378
77,www.bilibili.com/video/BV1z3411L7ku,网络热门生物学视频鉴定【鉴定系列02】,爱看报的Kris,88.4万,7613
78,www.bilibili.com/video/BV1iT4y1D7Ui,时隔两月！我终于拼出了史上最巨大帝国装甲车！,雨哥到处跑,65.1万,3310
79,www.bilibili.com/video/BV14b4y147S7,那3090TI是不是能把地球炸裂开,阿诚不奇怪,109.6万,41
80,www.bilibili.com/video/BV1yu411Q7KU,一些散落人间的中国式浪漫，你我都懂，直接破防了,王莫墨,94.8万,346
81,www.bilibili.com/video/BV14a411C7q5,【鬼谷闲谈】一场绵延1500多万年的瘟疫,芳斯塔芙,92.4万,2971
82,www.bilibili.com/video/BV1vu411X7xM,当你控制了主播！会发生什么？,中国BOY超级大猩猩,67万,1.3万
83,www.bilibili.com/video/BV1d44y1H7gP,片 名 为 寄,名字就叫大梦一场,160.9万,5115
84,www.bilibili.com/video/BV1xS4y1F7Qd,半个月了，冰墩墩终于扬眉吐气了！,锋卫摇摆老司机,70万,450
85,www.bilibili.com/video/BV1PR4y1j7MA,沟通全靠视频通话，顶着ipad出门帮别人约会能有多社死？,啊吗粽,75.1万,3679
86,www.bilibili.com/video/BV1Er4y1r7qz,当英国人和美国人一起说中文……我笑不活了,老少女阿珂,79.5万,7215
87,www.bilibili.com/video/BV1C3411L7dT,【王濛】我的金墩墩 被截胡了！！！,王濛,123.2万,3572
88,www.bilibili.com/video/BV1kF411E7X2,朋友们，牛皮你们吃过吗？今天分享三种牛皮的做法给大家看看,唐小米婆婆,126.9万,2901
89,www.bilibili.com/video/BV1mm4y1d7BB,《崩坏3》全新SP角色「空梦·掠集之兽」预告,崩坏3第一偶像爱酱,103.4万,7486
90,www.bilibili.com/video/BV1NR4y1j7gd,终于吃到英国新疆菜天花板 量大过瘾,假美食po主,83.1万,6765
91,www.bilibili.com/video/BV1rP4y1w77M,家常馅饼新吃法,阿楠美食教做菜,149.5万,879
92,www.bilibili.com/video/BV1t44y1n7cT,离 谱 颜 文 字 网 文 ∠( ᐛ 」∠❀)__,三十六贱笑,60.6万,4371
93,www.bilibili.com/video/BV1jS4y1r7TK,镜头下我那美丽的妻子,任性的KIMKILLS,143万,308
94,www.bilibili.com/video/BV1vL411K7ad,“万物皆有灵性”,隔壁大肥猫,114万,1501
95,www.bilibili.com/video/BV11Y411V752,猫永远是猫，人有时候是狗！,有喵万事足,125.4万,479
96,www.bilibili.com/video/BV1PY411578X,【花滑运动员千金】我的表演滑彩排花絮,安娜-谢尔巴科娃,81.8万,1582
97,www.bilibili.com/video/BV18L411K7hQ,b站最“勤奋”博主的一天,nya酱的一生,53.3万,6906
98,www.bilibili.com/video/BV1Em4y1d7wR,【⚠️外放警告】强迫症舒适视频,Xiaowen_Liu,185.4万,1135
99,www.bilibili.com/video/BV1E34y1C7Rp,这东西要是火了，我就cos屠夫去上班！,2u2bu,158.2万,3093
100,www.bilibili.com/video/BV1Rm4y1d7wU,怎么可以吃兔兔？法国猎人vs麻辣兔丁,巴黎小郭郭,207.8万,422
